GroupName,Link,Monthly List
As One (group),https://open.spotify.com/artist/0cylxW7HGdK9xMdubw2oYW,14608
ASHA,https://open.spotify.com/artist/5FxD8fkQZ6KcsSYupDVoSO,231559
AshGray,https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0,1981108
ASTIN,https://open.spotify.com/artist/4P4cATtI7ozt4k4oKho4uz,54327
ASTORY BOYS,,#VALUE!
ASTRO,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,8533010
ATEEZ,https://open.spotify.com/artist/68KmkJeZGfwe1OUaivBa2L,601755
AWEEK,https://open.spotify.com/artist/7KJvmmfPCEvuwwh4R5WjvD,11
AWESOME (group),https://open.spotify.com/artist/0oEZDkrxkJURT0wuDPiLg0,Loading...
AZM,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,8787672
B Girls,https://open.spotify.com/artist/3frVgP8vWBbUTULYK4KPBQ,434
B.A.P,https://open.spotify.com/artist/6kxCoNfY6U1eP0Yc88phvk,611310
B.HEART,https://open.spotify.com/artist/7yV83KFDjcx1QREEzqPUKk,501
B.I.G,https://open.spotify.com/artist/3NPpFNZtSTHheNBaWC82rB,2004516
B.I.T,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK,Loading...
B.O.B,https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7,1311683
B1A4,https://open.spotify.com/artist/3sxWOFw4MSN54SIQ8np6iG,401995
BaBa,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,3217922
Baby Boo,https://open.spotify.com/artist/11IcDecUvnKOttYzE3d0Z1,46618
BADKIZ,https://open.spotify.com/artist/3iTyYb9VBCUlR5D8t532mN,3797
BAIKAL,https://open.spotify.com/artist/0q2WkTHTEczNf8wNq6MBRk,9335
Bambino,https://open.spotify.com/artist/0p4ViyfJUTW0IT4SCBLexf,91209
Bandage,https://open.spotify.com/artist/5UVftEhSsIg0kkXlmfhB6M,88005
Bay.B,https://open.spotify.com/artist/1wmiQ6ytATiGnJs6uFluKO,75434
BDC,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,20174613
Be.A,https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz,#N/A
BEATWIN,https://open.spotify.com/artist/2cyaobEho8uxhqLxwG7j6i,34804
BEBE6,https://open.spotify.com/artist/7gZfnEnfiaHzxARJ2LeXrf,4576174
Bebop,https://open.spotify.com/artist/3m1IaEwT7D9hFKOfpz5VHk,68566
BECZ,https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh,7218265
BELLA4,https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn,1383517
Benjil Benjil,https://open.spotify.com/artist/0ndMofuAPmTktjONZv20JL,Loading...
Berry Chu,https://open.spotify.com/artist/0tko2stnUOqejIto8rKRh7,1921
Berry Good,https://open.spotify.com/artist/4PFC7IPuGWwwYQUuuvSnrw,144553
Berry Good HEART HEART,https://open.spotify.com/artist/0DP0HgcUOr4utAwfQc3flH,4513
BESTie,https://open.spotify.com/artist/7DuTB6wdzqFJGFLSH17k8e,1906540
BgA,https://open.spotify.com/artist/0YinUQ50QDB7ZxSCLyQ40k,621807
Big Brain,https://open.spotify.com/artist/25CgccXK9hJBTuaMF44zeR,16262
BIGBANG,https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,3697683
BIGFLO,https://open.spotify.com/artist/5mmEMfYChd6MImBagU7zCs,1171668
BIGSTAR,https://open.spotify.com/artist/6T8Ols663KRRS4UdzGPbFf,3795
